"Region 2021","Degree of urbanisation, %, 2020","Population, 2021","Population change from the previous year, %, 2021","Share of persons aged under 15 of the population, %, 2021","Share of persons aged 15 to 64 of the population, %, 2021","Share of persons aged over 64 of the population, %, 2021","Share of Swedish-speakers of the population, %, 2021","Share of foreign citizens of the population, %, 2021","Excess of births, persons, 2021","Intermunicipal migration gain/loss, persons, 2021","Number of families, 2020","Number of household-dwelling units, 2021","Share of household-dwelling units living in terraced houses and detached houses, %, 2021","Share of household-dwelling units living in rental dwellings, %, 2020","Share of persons aged 15 or over with at least upper secondary qualifications, %, 2020","Share of persons aged 15 or over with tertiary level qualifications, %, 2020","Employed labour force resident in the area, 2020","Employment rate, %, 2020","Share of persons working in their municipality of residence, %, 2020","Proportion of the unemployed among the labour force, %, 2020","Proportion of pensioners of the population, %, 2020","Economic dependency ratio, 2020","Number of workplaces in the area, 2020","Share of workplaces in primary production, %, 2020","Share of workplaces in secondary production, %, 2020","Share of workplaces in services, %, 2020","Workplace self-sufficiency, 2020","Annual contribution margin, EUR per capita, 2020","Loan stock, EUR per capita, 2020","Group loan stock, EUR per capita, 2020","Educational and cultural activities, total, operating net costs, EUR per capita, 2020","Social and health care activities, total, operating net costs, EUR per capita, 2020"
"Pori sub-regional unit",87.2,129994,-0.5,14.0,58.1,28.0,0.5,2.6,-731,-180,35475,67971,51.6,28.9,72.5,27.0,49788,68.0,68.9,14.6,31.6,162.4,49701,2.9,23.8,71.9,99.8,482.2,3025.5,5589.8,1795.6,3795.9
"Pohjois-Satakunta sub-regional unit",58.7,17989,-1.0,13.6,55.6,30.9,0.1,3.2,-164,-86,5023,9088,66.6,25.5,67.9,20.0,6716,68.5,73.5,13.4,34.9,170.6,6739,9.8,25.2,63.2,100.3,679.2,3819.3,5667.6,1854.3,3864.0
"Hämeenlinna sub-regional unit",85.1,93716,0.3,14.8,59.1,26.1,0.4,3.2,-300,350,25280,47945,42.5,30.0,74.5,31.3,37850,71.2,61.3,12.5,29.2,147.0,35242,3.0,21.2,74.6,93.1,516.5,4132.3,6778.0,1752.0,3644.3
"Riihimäki sub-regional unit",83.9,44463,-0.6,15.5,60.7,23.8,0.4,3.2,-182,-165,12089,22178,47.2,27.9,72.1,27.1,18869,72.6,42.8,10.3,26.9,137.1,15100,2.5,26.7,69.3,80.0,779.9,2626.7,4146.2,1883.5,3464.6
"Forssa sub-regional unit",73.8,32034,-1.0,12.7,56.7,30.6,0.3,3.1,-256,-137,8824,16694,53.4,25.6,69.4,23.9,12535,70.6,54.6,11.5,33.8,158.2,12209,5.3,31.4,61.9,97.4,642.7,2573.8,3398.4,1746.9,3763.2
"Luoteis-Pirkanmaa sub-regional unit",60.0,14971,-0.5,13.3,52.8,33.9,0.1,1.6,-88,-2,4138,7616,64.8,22.2,68.6,21.3,5227,67.4,65.8,14.1,37.6,187.7,4912,8.7,27.1,62.6,94.0,647.1,3593.5,5917.3,1566.1,4291.2
"Etelä-Pirkanmaa sub-regional unit",83.8,41831,0.1,15.4,57.1,27.5,0.2,2.3,-153,74,11484,20787,52.0,23.9,72.1,25.8,16162,70.6,51.5,12.9,30.3,158.6,12343,3.4,33.6,61.5,76.4,797.2,3488.2,5567.9,2087.4,3645.6
"Tampere sub-regional unit",92.9,421988,1.2,15.5,64.5,20.0,0.4,3.7,326,3247,109311,217358,27.8,38.7,78.3,36.2,178597,69.1,60.2,13.1,22.9,133.5,178101,1.1,20.1,77.4,99.7,708.9,3395.7,7127.1,2088.2,3370.9
"Lounais-Pirkanmaa sub-regional unit",65.8,26719,-0.4,13.8,54.9,31.3,0.1,2.1,-210,54,7384,13424,64.3,21.1,69.2,23.2,9980,70.5,66.0,11.0,35.3,168.9,8755,8.9,25.2,64.2,87.7,638.7,2613.3,4566.8,1809.1,3987.7
"Ylä-Pirkanmaa sub-regional unit",64.9,21969,-1.0,11.6,51.3,37.0,0.2,1.8,-276,2,6108,11600,57.6,23.4,67.9,21.1,7602,68.1,72.4,13.0,40.9,192.0,7732,7.6,32.2,58.7,101.7,620.2,3230.4,5516.3,1752.8,4670.3
"Lahti sub-regional unit",87.4,205124,-0.3,14.0,58.2,27.7,0.4,3.7,-1084,-63,54639,108737,36.8,34.1,71.1,27.4,77524,67.1,65.3,16.3,31.0,165.4,73091,2.8,26.4,69.3,94.3,866.6,5478.7,7720.4,1886.9,3586.6
"Kouvola sub-regional unit",85.9,80454,-0.9,12.8,58.0,29.2,0.4,2.8,-587,-248,21935,43102,48.4,28.4,72.5,26.2,30675,67.4,83.9,14.9,33.5,164.7,29549,3.1,21.5,74.0,96.3,721.2,3287.5,5936.9,2086.9,4180.5
"Kotka-Hamina sub-regional unit",90.7,80937,-0.8,12.9,57.9,29.2,1.2,4.8,-664,-189,21904,43153,43.0,31.2,72.3,26.7,30163,65.9,69.2,16.4,33.3,170.6,30079,1.8,20.8,75.9,99.7,805.7,5140.0,9013.4,2017.1,4258.5
"Lappeenranta sub-regional unit",84.7,87880,-0.3,13.4,60.5,26.0,0.2,4.3,-539,-267,23294,46548,42.0,34.3,74.6,30.5,34525,66.7,77.4,13.8,29.1,155.2,34451,2.8,20.8,75.2,99.8,501.6,2953.1,6499.4,1864.6,3871.9
"Imatra sub-regional unit",82.7,38227,-1.5,11.3,54.5,34.2,0.2,3.3,-435,-238,10692,21003,55.5,25.8,69.3,22.5,12942,63.0,63.0,19.4,38.8,199.8,11950,4.1,28.3,65.8,92.3,445.6,3160.4,7252.4,1649.9,4396.4
"Mikkeli sub-regional unit",74.0,68879,-0.9,12.8,56.6,30.6,0.2,2.3,-579,-232,18514,36605,47.3,30.0,72.9,28.7,26366,68.9,84.0,12.4,34.1,163.7,26462,5.3,20.2,73.1,100.4,670.2,4676.4,9759.0,1904.2,4307.6
"Savonlinna sub-regional unit",70.7,39669,-0.5,11.2,54.4,34.4,0.1,2.3,-432,143,10891,21512,48.1,28.2,71.2,24.8,13799,65.2,85.4,17.1,38.3,189.0,13647,7.3,19.6,71.5,98.9,986.0,3221.1,5313.6,1628.8,4715.9
"Pieksämäki sub-regional unit",69.6,23140,-0.7,11.5,53.6,34.9,0.2,1.9,-237,33,6375,12577,52.0,28.0,70.6,22.3,8403,68.4,78.8,11.6,39.8,177.4,8212,8.1,18.9,71.7,97.7,697.9,4459.2,6540.6,1628.8,4722.1
"Ylä-Savo sub-regional unit",58.9,51595,-1.1,14.0,55.2,30.8,0.1,1.7,-453,-219,14207,26387,56.9,27.5,70.7,21.3,18958,67.7,70.9,15.3,35.1,175.2,18882,12.7,25.0,60.9,99.6,759.4,3147.9,6101.9,1926.8,4408.5
"Kuopio sub-regional unit",85.9,142836,1.0,15.0,62.9,22.0,0.1,2.6,-111,1106,37745,73852,31.2,37.7,78.8,34.1,59079,68.7,77.8,12.5,25.7,139.4,59102,2.7,16.1,80.0,100.0,471.7,3820.5,9329.9,2103.7,3849.6
"Koillis-Savo sub-regional unit",43.9,6711,-1.3,10.2,52.0,37.8,0.1,1.5,-94,-5,1825,3635,66.9,21.3,64.3,15.7,2093,59.9,59.4,15.9,45.4,224.9,1833,14.6,19.6,63.8,87.6,802.1,3016.5,6078.1,1585.8,5803.7
"Varkaus sub-regional unit",78.0,33877,-1.4,12.3,55.3,32.3,0.2,2.2,-351,-197,9480,18117,49.3,27.5,71.8,25.1,12098,65.2,67.2,16.3,37.0,184.1,11721,5.9,30.7,62.0,96.9,568.9,3520.2,7586.3,1664.2,4410.2
